AL,nest,nest_mate,date,year,DOY,sunrise,time,time_after_sunrise,process_time,time_on_ice,CORT_time,CORT_cat,CORT_value,CORT_sec,sex,age,age.2,incubator
2010,NA,NA,22-Mar-17,2017,81,6.32,9.5,3.18,12.41666667,2.916666667,15,min15,34.14357497,926,F,adult,adult,NA
2010,NA,NA,22-Mar-17,2017,81,6.32,9.5,3.18,12.41666667,2.916666667,30,min30,44.02493856,1846,F,adult,adult,NA
2021,NA,NA,11-Apr-17,2017,101,6.22,8.75,2.53,11.63333333,2.883333333,0,base,3.843482979,120,M,adult,adult,NA
2021,NA,NA,11-Apr-17,2017,101,6.22,8.75,2.53,11.63333333,2.883333333,15,min15,32.72854088,936,M,adult,adult,NA
2021,NA,NA,11-Apr-17,2017,101,6.22,8.75,2.53,11.63333333,2.883333333,30,min30,48.03936612,1823,M,adult,adult,NA
2026,NA,NA,25-Mar-17,2017,84,6.31,9,2.69,1.3,-7.7,0,base,9.186020648,114,F,adult,adult,NA
2026,NA,NA,25-Mar-17,2017,84,6.31,9,2.69,1.3,-7.7,15,min15,51.74622206,896,F,adult,adult,NA
2026,NA,NA,25-Mar-17,2017,84,6.31,9,2.69,1.3,-7.7,30,min30,102.3904648,1827,F,adult,adult,NA
2027,NA,NA,25-Mar-17,2017,84,6.31,8.783333333,2.47,12.43333333,3.65,0,base,4.021651038,104,M,adult,adult,NA
2027,NA,NA,25-Mar-17,2017,84,6.31,8.783333333,2.47,12.43333333,3.65,15,min15,51.29587058,920,M,adult,adult,NA
2027,NA,NA,25-Mar-17,2017,84,6.31,8.783333333,2.47,12.43333333,3.65,30,min30,68.75009034,1802,M,adult,adult,NA
2028,NA,NA,26-Mar-17,2017,85,6.3,9.966666667,3.67,11.23333333,1.266666667,0,base,1.738312231,116,M,adult,adult,NA
2028,NA,NA,26-Mar-17,2017,85,6.3,9.966666667,3.67,11.23333333,1.266666667,15,min15,32.24186708,906,M,adult,adult,NA
2028,NA,NA,26-Mar-17,2017,85,6.3,9.966666667,3.67,11.23333333,1.266666667,30,min30,65.28755918,1857,M,adult,adult,NA
2029,NA,NA,27-Mar-17,2017,86,6.3,7.5,1.2,11.43333333,3.933333333,0,base,3.143020896,73,M,adult,adult,NA
2029,NA,NA,27-Mar-17,2017,86,6.3,7.5,1.2,11.43333333,3.933333333,15,min15,41.96325499,880,M,adult,adult,NA
2029,NA,NA,27-Mar-17,2017,86,6.3,7.5,1.2,11.43333333,3.933333333,30,min30,63.5524501,1878,M,adult,adult,NA
2030,NA,NA,12-Apr-17,2017,102,6.21,9.666666667,3.46,12.36666667,2.7,0,base,4.5662,138,M,adult,adult,NA
2030,NA,NA,27-Mar-17,2017,86,6.3,7.8,1.5,11.36666667,3.566666667,0,base,8.293312583,146,M,adult,adult,NA
2030,NA,NA,27-Mar-17,2017,86,6.3,7.8,1.5,11.36666667,3.566666667,15,min15,49.7413,870,M,adult,adult,NA
2030,NA,NA,12-Apr-17,2017,102,6.21,9.666666667,3.46,12.36666667,2.7,15,min15,54.39065303,969,M,adult,adult,NA
2030,NA,NA,12-Apr-17,2017,102,6.21,9.666666667,3.46,12.36666667,2.7,30,min30,108.8796,1892,M,adult,adult,NA
2030,NA,NA,27-Mar-17,2017,86,6.3,7.8,1.5,11.36666667,3.566666667,30,min30,74.76454493,1920,M,adult,adult,NA
2031,NA,NA,27-Mar-17,2017,86,6.3,8.2,1.9,11.66666667,3.466666667,0,base,3.798740787,84,F,adult,adult,NA
2031,NA,NA,27-Mar-17,2017,86,6.3,8.2,1.9,11.66666667,3.466666667,15,min15,46.02366448,946,F,adult,adult,NA
2031,NA,NA,27-Mar-17,2017,86,6.3,8.2,1.9,11.66666667,3.466666667,30,min30,14.10744521,1886,F,adult,adult,NA
2032,NA,NA,28-Mar-17,2017,87,6.29,9.166666667,2.88,11.7,2.533333333,0,base,2.66079303,85,M,adult,adult,NA
2032,NA,NA,28-Mar-17,2017,87,6.29,9.166666667,2.88,11.7,2.533333333,15,min15,44.97979194,853,M,adult,adult,NA
2032,NA,NA,28-Mar-17,2017,87,6.29,9.166666667,2.88,11.7,2.533333333,30,min30,27.61650948,1800,M,adult,adult,NA
2033,NA,NA,30-Mar-17,2017,89,6.28,8.533333333,2.25,12.08333333,3.55,0,base,3.255423088,105,M,adult,adult,NA
2033,NA,NA,30-Mar-17,2017,89,6.28,8.533333333,2.25,12.08333333,3.55,15,min15,37.77036316,897,M,adult,adult,NA
2033,NA,NA,30-Mar-17,2017,89,6.28,8.533333333,2.25,12.08333333,3.55,30,min30,57.94525869,1797,M,adult,adult,NA
2034,NA,NA,30-Mar-17,2017,89,6.28,10.25,3.97,12.36666667,2.116666667,0,base,12.37480378,143,F,adult,adult,NA
2034,NA,NA,30-Mar-17,2017,89,6.28,10.25,3.97,12.36666667,2.116666667,15,min15,49.75046164,992,F,adult,adult,NA
2034,NA,NA,30-Mar-17,2017,89,6.28,10.25,3.97,12.36666667,2.116666667,30,min30,55.30212768,1852,F,adult,adult,NA
2035,NA,NA,30-Mar-17,2017,89,6.28,10.73333333,4.45,12.46666667,1.733333333,0,base,4.798073105,90,F,adult,adult,NA
2035,NA,NA,30-Mar-17,2017,89,6.28,10.73333333,4.45,12.46666667,1.733333333,15,min15,56.49767691,899,F,adult,adult,NA
2035,NA,NA,30-Mar-17,2017,89,6.28,10.73333333,4.45,12.46666667,1.733333333,30,min30,68.70348974,1743,F,adult,adult,NA
2036,NA,NA,31-Mar-17,2017,90,6.27,8.416666667,2.15,12.21666667,3.8,0,base,0.447401479,105,M,adult,adult,NA
2036,NA,NA,31-Mar-17,2017,90,6.27,8.416666667,2.15,12.21666667,3.8,15,min15,25.84805978,900,M,adult,adult,NA
2036,NA,NA,31-Mar-17,2017,90,6.27,8.416666667,2.15,12.21666667,3.8,30,min30,36.02705221,1770,M,adult,adult,NA
2037,NA,NA,31-Mar-17,2017,90,6.27,8.75,2.48,12.26666667,3.516666667,0,base,NA,NA,M,adult,adult,NA
2037,NA,NA,31-Mar-17,2017,90,6.27,8.75,2.48,12.26666667,3.516666667,15,min15,27.56534772,914,M,adult,adult,NA
2037,NA,NA,31-Mar-17,2017,90,6.27,8.75,2.48,12.26666667,3.516666667,30,min30,96.01326209,1719,M,adult,adult,NA
2038,NA,NA,31-Mar-17,2017,90,6.27,10.75,4.48,12.55,1.8,0,base,3.195582347,134,M,adult,adult,NA
2038,NA,NA,31-Mar-17,2017,90,6.27,10.75,4.48,12.55,1.8,15,min15,29.74870513,892,M,adult,adult,NA
2038,NA,NA,31-Mar-17,2017,90,6.27,10.75,4.48,12.55,1.8,30,min30,11.07407585,NA,M,adult,adult,NA
2039,NA,NA,1-Apr-17,2017,91,6.27,9.333333333,3.06,12,2.666666667,0,base,5.482780447,139,F,adult,adult,NA
2039,NA,NA,1-Apr-17,2017,91,6.27,9.333333333,3.06,12,2.666666667,15,min15,74.06493728,914,F,adult,adult,NA
2039,NA,NA,1-Apr-17,2017,91,6.27,9.333333333,3.06,12,2.666666667,30,min30,98.47804029,1781,F,adult,adult,NA
2040,NA,NA,3-Apr-17,2017,93,6.26,9,2.74,12.05,3.05,0,base,1.132627409,134,M,adult,adult,NA
